N,threads_req,threads_used,init_time_s,work_time_s,speedup_work,res,status
20000,1,1,1.33278,0.382403,1.000000,4e+08,OK
20000,2,2,0.692724,0.193297,1.978318,4e+08,OK
20000,4,4,0.365404,0.092164,4.149158,4e+08,OK
20000,7,7,0.224824,0.0461915,8.278644,4e+08,OK
20000,8,8,0.201451,0.0392293,9.747893,4e+08,OK
20000,16,16,0.185416,0.0210489,18.167363,4e+08,OK
20000,20,20,0.182901,0.0168228,22.731234,4e+08,OK
20000,40,40,0.186484,0.0189102,20.222049,4e+08,OK
40000,1,1,5.21496,1.54573,1.000000,1.6e+09,OK
40000,2,2,2.70364,0.872132,1.772358,1.6e+09,OK
40000,4,4,1.40962,0.416893,3.707738,1.6e+09,OK
40000,7,7,0.939781,0.222815,6.937280,1.6e+09,OK
40000,8,8,0.826239,0.21566,7.167439,1.6e+09,OK
40000,16,16,0.768246,0.0809279,19.100088,1.6e+09,OK
40000,20,20,0.736924,0.0690027,22.401007,1.6e+09,OK
40000,40,40,0.690628,0.0780868,19.795023,1.6e+09,OK
